fly position,center of mass,laser status
320.39,320.39,0
326.25,326.25,0
333.71,333.71,0
338.13,338.13,0
342.67,342.67,0
350.66,350.66,0
357.78,357.78,0
366.18,366.18,0
371.56,371.56,0
374.37,374.37,0
372.2,372.2,0
377,377,0
381.56,381.56,0
384.89,384.89,0
384.78,384.78,0
382.92,382.92,0
382.92,NaN,0
382.92,376.92,0
382.92,402.06,0
404.3,404.3,0
407.8,407.8,0
398.3,398.3,0
398.13,398.13,0
398.42,398.42,0
406.68,406.68,0
414.1,414.1,0
418.12,418.12,0
425.8,425.8,0
432.05,432.05,0
437.09,437.09,0
441.76,441.76,0
448.55,448.55,0
454.7,454.7,0
461.43,461.43,0
468.51,468.51,0
474.7,474.7,0
480.59,480.59,0
487.77,487.77,0
494.45,494.45,0
501.71,501.71,0
509.74,509.74,0
516.95,516.95,0
524.78,524.78,0
530.77,530.77,0
538.75,538.75,0
545.59,545.59,0
554.37,554.37,0
563.53,563.53,0
571.24,571.24,0
578.12,578.12,0
582.65,582.65,0
589.93,589.93,0
596.27,596.27,0
600.99,600.99,0
607.23,607.23,0
613.96,613.96,0
618.97,618.97,0
621.82,621.82,0
627.18,627.18,0
634.6,634.6,0
638.31,638.31,0
639.64,639.64,0
646.16,646.16,0
654.04,654.04,0
660.77,660.77,0
667.73,667.73,0
675.78,675.78,0
682.98,682.98,0
691.4,691.4,0
698.06,698.06,0
704.47,704.47,0
708.55,708.55,0
709.96,709.96,0
712.6,712.6,0
712.15,712.15,0
714.91,714.91,0
717.08,717.08,0
721.02,721.02,0
722.52,722.52,0
726.08,726.08,0
728.65,728.65,0
731.85,731.85,0
735.87,735.87,0
739.1,739.1,0
742.04,742.04,0
745.49,745.49,0
748.99,748.99,0
752.26,752.26,0
755.47,755.47,0
755.58,755.58,0
757.76,757.76,0
760.77,760.77,0
763.22,763.22,0
767,765.57,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,730,0
733.41,733.41,0
734.68,734.68,0
735.39,735.39,0
743.85,743.85,0
743.85,NaN,0
743.85,NaN,0
743.85,NaN,0
743.85,NaN,0
743.85,740.49,0
743.85,NaN,0
743.85,745.88,0
738.32,738.32,0
738.03,738.03,0
738.48,738.48,0
746.59,746.59,0
752.04,752.04,0
752.04,NaN,0
752.04,NaN,0
752.04,NaN,0
752.04,729.26,0
729.17,729.17,0
725.46,725.46,0
721.01,721.01,0
721.01,NaN,0
721.01,NaN,0
721.01,NaN,0
721.01,721.31,0
721.01,NaN,0
721.01,NaN,0
721.01,NaN,0
721.01,709.41,0
707.24,707.24,0
704.79,704.79,0
703.84,703.84,0
702.39,702.39,0
701,701,0
696.65,696.65,0
694.63,694.63,0
692.66,692.66,0
692.09,692.09,0
686.4,686.4,0
681.29,681.29,0
674.51,674.51,0
667.69,667.69,0
663.93,663.93,0
659.66,659.66,0
657.48,657.48,0
651.79,651.79,0
648.46,648.46,0
642.66,642.66,0
635.23,635.23,0
632.35,632.35,0
628.2,628.2,0
623.83,623.83,0
618.3,618.3,0
612.39,612.39,0
609.34,609.34,0
605.32,605.32,0
599.81,599.81,0
595.58,595.58,0
587.31,587.31,0
583.07,583.07,0
579.52,579.52,0
575.59,575.59,0
569.6,569.6,0
562.41,562.41,0
557.34,557.34,0
553.27,553.27,0
551.69,551.69,0
548.89,548.89,0
547.53,547.53,0
540.97,540.97,0
536.54,536.54,0
529.74,529.74,0
523.9,523.9,0
518.32,518.32,0
513.89,513.89,0
511.14,511.14,0
507.36,507.36,0
501.34,501.34,0
496.12,496.12,0
494.08,494.08,0
491.51,491.51,0
488.07,488.07,0
480.62,480.62,0
472.6,472.6,0
463.65,463.65,0
457.58,457.58,0
456.26,456.26,0
456.15,456.15,0
453.58,453.58,0
447.33,447.33,0
439.94,439.94,0
434.04,434.04,0
431.33,431.33,0
426.72,426.72,0
420.59,420.59,0
412.16,412.16,0
407.57,407.57,0
401.78,401.78,0
394.64,394.64,0
386.11,386.11,0
381.95,381.95,0
380.13,380.13,0
377.64,377.64,0
372.04,372.04,0
362.63,362.63,0
356.12,356.12,0
352.86,352.86,0
346.31,346.31,0
339.73,339.73,0
331.88,331.88,0
329,329,0
325.95,325.95,0
321.82,321.82,0
